field_type,ID,Location,Taxa,Numeric,Time,Time,Categorical,Comments
32,18_03_06_1,E100 edge,Black-and-yellow Broadbill,50,00:18:56,10:33:56 AM,A,NA
33,18_03_06_1,E100 edge,Sooty-capped Babbler,40,00:18:56,10:33:56 AM,A,NA
34,18_03_06_1,E100 edge,Flycatcher,12,00:19:00,10:34:00 AM,AV,completely brown
35,18_03_06_1,E100 edge,Smiths Giant Gecko,30,00:19:04,10:34:04 AM,A,NA
36,18_03_06_2,E100 edge,Black-naped Monarch,4,00:00:05,11:00:05 AM,V,NA
37,18_03_06_2,E100 edge,Pycnonotidae,20,00:00:12,11:00:12 AM,A,NA
38,18_03_06_2,E100 edge,Spectacled Bulbul,20,00:00:22,11:00:22 AM,A,NA
39,18_03_06_2,E100 edge,Malaysian Pied Fantail,7,00:01:12,11:01:12 AM,V,NA
40,18_03_06_2,E100 edge,Smiths Giant Gecko,NA,00:02:20,11:02:20 AM,A,NA
41,18_03_06_2,E100 edge,Maroon-breasted Philentoma,50,00:02:37,11:02:37 AM,A,also at 05:10 metallic bubbling shooting
42,18_03_06_2,E100 edge,Blue-eared Barbet,15,00:03:16,11:03:16 AM,A,NA
43,18_03_06_2,E100 edge,Black-naped Monarch,NA,00:03:52,11:03:52 AM,A,NA
44,18_03_06_2,E100 edge,Blue-eared Barbet,25,00:03:53,11:03:53 AM,A,NA
45,18_03_06_2,E100 edge,Great Argus,20,00:04:40,11:04:40 AM,A,VERY CLOSE // XC443902
46,18_03_06_2,E100 edge,Great Argus,40,00:04:47,11:04:47 AM,A,Also at 08:45
47,18_03_06_2,E100 edge,Dark-necked Tailorbird,20,00:12:11,11:12:11 AM,A,"dweet between 2-3.8khz, similar to call Dark-necked Tailorbird recorded by David Edwards"
48,18_03_06_2,E100 edge,Yellow-bellied Bulbul,30,00:12:58,11:12:58 AM,A,R40
49,18_03_06_2,E100 edge,Yellow-bellied Bulbul,30,00:12:58,11:12:58 AM,A,NA
50,18_03_06_2,E100 edge,Smiths Giant Gecko,NA,00:13:25,11:13:25 AM,A,NA
51,18_03_06_2,E100 edge,Smiths Giant Gecko,NA,00:18:45,11:18:45 AM,A,NA
52,18_03_06_3,E100 edge,Black-headed Bulbul,15,00:00:01,12:00:01 PM,A,NA
53,18_03_06_3,E100 edge,Blue-eared Barbet,30,00:00:32,12:00:32 PM,A,NA
54,18_03_06_3,E100 edge,Chestnut-winged Babbler,60,00:00:38,12:00:38 PM,A,NA
55,18_03_06_3,E100 edge,NA,17,00:00:58,12:00:58 PM,A,"High-pitched tsjip-tsjip (first 3-5khz, second 2.5-5khz): check sunbirds or flowerpeckers"
56,18_03_06_3,E100 edge,Yellow-bellied Bulbul,35,00:02:17,12:02:17 PM,A,NA
57,18_03_06_3,E100 edge,Rufous Piculet,20,00:02:46,12:02:46 PM,A,drumming at 4:31
58,18_03_06_3,E100 edge,Great Argus,70,00:03:20,12:03:20 PM,A,NA
59,18_03_06_3,E100 edge,Crested Serpent Eagle,40,00:04:20,12:04:20 PM,A,Kheeee = bird of prey above the canopy
60,18_03_06_3,E100 edge,Dicaeidae,18,00:04:53,12:04:53 PM,A,NA
61,18_03_06_3,E100 edge,Blue-eared Barbet,50,00:06:10,12:06:10 PM,A,also at 8:18; 11:34
62,18_03_06_3,E100 edge,Black-naped Monarch,15,00:07:58,12:07:58 PM,A,NA
63,18_03_06_3,E100 edge,Pycnonotidae,20,00:09:06,12:09:06 PM,A,a single two-note whistle (first 1.5-1.8khz: second 1.35-1.45khz)
64,18_03_06_3,E100 edge,Van Hasselt's Sunbird,15,00:10:12,12:10:12 PM,V,NA
65,18_03_06_3,E100 edge,Van Hasselt's Sunbird,15,00:10:12,12:10:12 PM,V,NA
66,18_03_06_3,E100 edge,NA,NA,00:10:42,12:10:42 PM,A,Chew-wit
67,18_03_06_3,E100 edge,NA,NA,00:11:18,12:11:18 PM,A,NA
68,18_03_06_3,E100 edge,Great Argus,50,00:12:31,12:12:31 PM,A,NA
69,18_03_06_3,E100 edge,Yellow-bellied Bulbul,15,00:15:42,12:15:42 PM,AV,"JA41; JA42: clearly two different individuals audible, so 1 is likely the one heard at 0:2:17 during this PC"
70,18_03_06_3,E100 edge,Red-bearded Bee-eater,15,00:15:48,12:15:48 PM,AV,NA
71,18_03_06_3,E100 edge,Flycatcher,20,00:19:40,12:19:40 PM,V,Completely brown
72,18_03_06_3,E100 edge,Black-naped Monarch,25,00:19:57,12:19:57 PM,AV,male
73,18_03_06_3,E100 edge,Black-naped Monarch,25,00:19:57,12:19:57 PM,AV,female
74,18_03_06_3,E100 edge,Little Spiderhunter,12,00:20:00,12:20:00 PM,AV,NA
75,18_03_06_3,E100 edge,Little Spiderhunter,12,00:20:00,12:20:00 PM,AV,NA
76,18_03_06_3,E100 edge,Picidae,30,NA,NA,A,NA
77,18_03_06_4,E100 edge,Yellow-bellied Bulbul,20,00:00:00,01:00:00 PM,AV,JA43
78,18_03_06_4,E100 edge,Black-naped Monarch,20,00:01:15,01:01:15 PM,A,NA
79,18_03_06_4,E100 edge,Greater Coucal,70,00:01:50,01:01:50 PM,A,NA
80,18_03_06_4,E100 edge,Black-naped Monarch,5,00:02:40,01:02:40 PM,AV,NA
81,18_03_06_4,E100 edge,Crested Serpent Eagle,60,00:02:57,01:02:57 PM,A,also at 4:25; 9:40
82,18_03_06_4,E100 edge,Black-headed Bulbul,30,00:05:24,01:05:24 PM,A,NA
83,18_03_06_4,E100 edge,Picidae,20,00:07:08,01:07:08 PM,AV,NA
84,18_03_06_4,E100 edge,Blue-eared Barbet,50,00:08:11,01:08:11 PM,A,NA
85,18_03_06_4,E100 edge,Smiths Giant Gecko,NA,00:11:35,01:11:35 PM,A,NA
86,18_03_06_4,E100 edge,Rhinoceros Hornbill,100,00:13:38,01:13:38 PM,A,NA
87,18_03_06_4,E100 edge,Orthotomus,30,00:13:58,01:13:58 PM,A,NA
88,18_03_06_4,E100 edge,Little Spiderhunter,20,00:15:12,01:15:12 PM,A,also at 16:16
89,18_03_06_4,E100 edge,Smiths Giant Gecko,NA,00:17:45,01:17:45 PM,AV,NA
90,18_03_06_4,E100 edge,Little Spiderhunter,15,00:17:50,01:17:50 PM,AV,JA44
91,18_03_06_4,E100 edge,Smiths Giant Gecko,15,00:19:52,01:19:52 PM,AV,NA
92,18_03_06_4,E100 edge,Yellow-rumped Flowerpecker,7,00:19:54,01:19:54 PM,AV,NA
93,18_03_06_4,E100 edge,Yellow-rumped Flowerpecker,7,00:19:54,01:19:54 PM,AV,NA
94,18_03_06_5,E100 edge,Pycnonotidae,30,00:00:54,02:00:54 PM,A,NA
95,18_03_06_5,E100 edge,Orthotomus,30,00:01:19,02:01:19 PM,A,NA
96,18_03_06_5,E100 edge,Crested Serpent Eagle,40,00:01:30,02:01:30 PM,A,Above canopy
97,18_03_06_5,E100 edge,Picidae,20,00:02:31,02:02:31 PM,A,heard drumming
98,18_03_06_5,E100 edge,Picidae,50,00:03:42,02:03:42 PM,A,"drumming, could be same as recorded on 2:03:42 PM"
99,18_03_06_5,E100 edge,Greater Coucal,100,00:06:01,02:06:01 PM,A,very far away
100,18_03_06_5,E100 edge,Black-and-yellow Broadbill,100,00:07:28,02:07:28 PM,A,NA
101,18_03_06_5,E100 edge,Smiths Giant Gecko,NA,00:07:46,02:07:46 PM,A,NA
102,18_03_06_5,E100 edge,Spectacled Bulbul,25,00:12:00,02:12:00 PM,A,JA45
103,18_03_06_5,E100 edge,Smiths Giant Gecko,NA,00:13:47,02:13:47 PM,A,NA
104,18_03_06_5,E100 edge,Smiths Giant Gecko,NA,00:14:34,02:14:34 PM,A,NA
105,18_03_06_5,E100 edge,Olive-backed Sunbird,12,00:15:40,02:15:40 PM,V,male
106,18_03_06_5,E100 edge,Smiths Giant Gecko,NA,00:18:21,02:18:21 PM,A,NA
107,18_03_06_6,E100 edge,Blue-eared Barbet,10,00:00:08,03:00:08 PM,A,NA
108,18_03_06_6,E100 edge,Smiths Giant Gecko,NA,00:05:07,03:05:07 PM,A,NA
109,18_03_07_1,D100 641,Chestnut-winged Babbler,NA,00:00:01,09:15:01 AM,A,NA
110,18_03_07_1,D100 641,Chestnut-backed Scimitar Babbler,6,00:00:04,09:15:04 AM,A,NA
111,18_03_07_1,D100 641,Ashy Tailorbird,6,00:00:05,09:15:05 AM,A,NA
112,18_03_07_1,D100 641,Ashy Tailorbird,6,00:00:05,09:15:05 AM,A,NA
113,18_03_07_1,D100 641,Crested Serpent Eagle,50,00:00:06,09:15:06 AM,A,above canopy
114,18_03_07_1,D100 641,Chestnut-winged Babbler,20,00:00:21,09:15:21 AM,A,NA
115,18_03_07_1,D100 641,Spectacled Bulbul,20,00:01:40,09:16:40 AM,A,NA
116,18_03_07_1,D100 641,Fluffy-backed Tit-babbler,30,00:02:08,09:17:08 AM,A,NA
117,18_03_07_1,D100 641,Little Spiderhunter,20,00:02:51,09:17:51 AM,A,Chiwchiwchiwchiwchiw... Very fast paced (5notes/s) between 2.5-4.2khz: more clearly audible at 3:23
118,18_03_07_1,D100 641,Yellow-rumped Flowerpecker,4,00:03:12,09:18:12 AM,V,NA
119,18_03_07_1,D100 641,Pycnonotidae,20,00:04:29,09:19:29 AM,A,NA
120,18_03_07_1,D100 641,Bold-striped Tit-babbler,50,00:04:36,09:19:36 AM,A,NA
121,18_03_07_1,D100 641,Crested Serpent Eagle,50,00:05:04,09:20:04 AM,A,NA
122,18_03_07_1,D100 641,Black-and-yellow Broadbill,20,00:05:20,09:20:20 AM,A,Kheee
123,18_03_07_1,D100 641,Spectacled Bulbul,10,00:06:16,09:21:16 AM,AV,NA
124,18_03_07_1,D100 641,Black-headed Bulbul,20,00:06:24,09:21:24 AM,A,NA
125,18_03_07_1,D100 641,Blue-eared Barbet,40,00:06:31,09:21:31 AM,A,NA
126,18_03_07_1,D100 641,Little Spiderhunter,15,00:07:39,09:22:39 AM,A,NA
127,18_03_07_1,D100 641,Banded Bay Cuckoo,35,00:08:27,09:23:27 AM,A,also at 11:28
128,18_03_07_1,D100 641,Dark-throated Oriole,50,00:09:37,09:24:37 AM,A,JA48 faint
129,18_03_07_1,D100 641,Fluffy-backed Tit-babbler,30,00:11:13,09:26:13 AM,A,NA
130,18_03_07_1,D100 641,Green Iora,20,00:12:25,09:27:25 AM,A,NA
131,18_03_07_1,D100 641,Short-tailed Babbler,8,00:12:40,09:27:40 AM,A,NA
132,18_03_07_1,D100 641,Short-tailed Babbler,10,00:12:40,09:27:40 AM,A,NA
133,18_03_07_1,D100 641,Picidae,10,00:13:28,09:28:28 AM,A,"triiiiii, sounded like small woodpecker=maroon? About 3.4khz, 1.5s long"
134,18_03_07_1,D100 641,Rufous-fronted Babbler,45,00:15:43,09:30:43 AM,A,NA
135,18_03_07_1,D100 641,Ashy Tailorbird,12,00:15:48,09:30:48 AM,A,NA
136,18_03_07_1,D100 641,Asian Fairy Bluebird,25,00:16:25,09:31:25 AM,A,NA
137,18_03_07_1,D100 641,NA,15,00:16:39,09:31:39 AM,A,Sunbird // XC444027
138,18_03_07_1,D100 641,NA,15,00:17:19,09:32:19 AM,A,Semi-melodic // XC444026
139,18_03_07_1,D100 641,Spectacled Bulbul,3,00:17:46,09:32:46 AM,V,NA
140,18_03_07_1,D100 641,Spectacled Bulbul,4,00:18:04,09:33:04 AM,A,different individual as the one recorded at 9:32:52 AM
141,18_03_07_1,D100 641,Black-naped Monarch,25,00:18:35,09:33:35 AM,A,NA
142,18_03_07_1,D100 641,Cream-vented Bulbul,30,00:19:12,09:34:12 AM,NA,NA
143,18_03_07_2,D100 641,Lesser Green Leafbird,20,00:00:01,10:00:01 AM,A,NA
144,18_03_07_2,D100 641,Black-and-yellow Broadbill,20,00:00:10,10:00:10 AM,A,Kheee
145,18_03_07_2,D100 641,Spectacled Bulbul,50,00:00:12,10:00:12 AM,A,NA
146,18_03_07_2,D100 641,NA,20,00:00:42,10:00:42 AM,A,same as PC1 at 17:19 // XC444026
147,18_03_07_2,D100 641,NA,20,00:00:48,10:00:48 AM,A,Same as PC1 at 16:39 // XC444027
148,18_03_07_2,D100 641,Little Spiderhunter,20,00:01:06,10:01:06 AM,A,NA
149,18_03_07_2,D100 641,NA,NA,00:05:33,10:05:33 AM,A,SB-SH-FP
150,18_03_07_2,D100 641,Fluffy-backed Tit-babbler,50,00:10:00,10:10:00 AM,A,NA
151,18_03_07_2,D100 641,Spectacled Bulbul,10,00:13:05,10:13:05 AM,A,NA
152,18_03_07_2,D100 641,Blue-eared Barbet,100,00:17:35,10:17:35 AM,A,NA
153,18_03_07_3,D100 641,Blue-eared Barbet,30,00:00:01,11:00:01 AM,A,NA
154,18_03_07_3,D100 641,Greater Coucal,50,00:00:05,11:00:05 AM,A,NA
155,18_03_07_3,D100 641,Cream-vented Bulbul,20,00:00:49,11:00:49 AM,A,NA
156,18_03_07_3,D100 641,Spectacled Bulbul,7,00:00:55,11:00:55 AM,A,NA
157,18_03_07_3,D100 641,Orthotomus,12,00:02:30,11:02:30 AM,A,NA
158,18_03_07_3,D100 641,Picidae,20,00:02:35,11:02:35 AM,A,NA
159,18_03_07_3,D100 641,Bearded Pig,100,00:04:23,11:04:23 AM,A,NA
160,18_03_07_3,D100 641,NA,12,00:10:03,11:10:03 AM,A,"SB or SH, check sound purple-naped Sunbird, same as PC1 at 5:33"
161,18_03_07_3,D100 641,Spectacled Bulbul,8,00:19:50,11:19:50 AM,A,NA
162,18_03_07_4,D100 641,Ashy Tailorbird,4,00:00:43,12:00:43 PM,A,NA
163,18_03_07_4,D100 641,Ashy Tailorbird,4,00:00:43,12:00:43 PM,A,NA
164,18_03_07_4,D100 641,Blue-eared Barbet,50,00:01:17,12:01:17 PM,A,NA
165,18_03_07_4,D100 641,Smiths Giant Gecko,20,00:02:34,12:02:34 PM,A,NA
166,18_03_07_4,D100 641,Blue-eared Barbet,50,00:03:10,12:03:10 PM,A,NA
167,18_03_07_4,D100 641,Chestnut-backed Scimitar Babbler,NA,00:03:14,12:03:14 PM,A,NA
168,18_03_07_4,D100 641,Arachnothera,8,00:04:05,12:04:05 PM,A,"SB or SH, check sound purple-naped Sunbird, same as PC1 at 5:33"
169,18_03_07_4,D100 641,Black-and-yellow Broadbill,50,00:04:49,12:04:49 PM,A,NA
170,18_03_07_4,D100 641,Dark-necked Tailorbird,15,00:04:55,12:04:55 PM,A,NA
171,18_03_07_4,D100 641,Purple-naped Sunbird,8,00:06:08,12:06:08 PM,A,NA
172,18_03_07_4,D100 641,NA,10,00:09:00,12:09:00 PM,A,chew-wit R51 // XC444025
173,18_03_07_4,D100 641,Green Iora,18,00:11:33,12:11:33 PM,A,NA
174,18_03_07_4,D100 641,Greater Coucal,50,00:12:05,12:12:05 PM,A,aslo at 13:17
175,18_03_07_4,D100 641,Spectacled Bulbul,10,00:12:18,12:12:18 PM,A,NA
176,18_03_07_4,D100 641,Little Spiderhunter,10,00:14:01,12:14:01 PM,A,NA
177,18_03_07_4,D100 641,NA,NA,00:14:48,12:14:48 PM,NA,R52 // XC444024
178,18_03_07_4,D100 641,Little Spiderhunter,10,00:15:03,12:15:03 PM,A,different individual as the one recorded at 12:14:01 AM
179,18_03_07_4,D100 641,Chestnut-winged Babbler,100,00:15:48,12:15:48 PM,A,NA
180,18_03_07_4,D100 641,Crested Serpent Eagle,60,00:16:48,12:16:48 PM,A,very faint
181,18_03_07_5,D100 641,Black-headed Bulbul,14,00:00:21,01:00:21 PM,A,NA
182,18_03_07_5,D100 641,NA,15,00:04:27,01:04:27 PM,A,idem R51 // XC444025
183,18_03_07_5,D100 641,Chestnut-winged Babbler,100,00:05:08,01:05:08 PM,A,NA
184,18_03_07_5,D100 641,Fluffy-backed Tit-babbler,100,00:05:25,01:05:25 PM,A,NA
185,18_03_07_5,D100 641,Cream-vented Bulbul,8,00:08:14,01:08:14 PM,V,NA
186,18_03_07_5,D100 641,Smiths Giant Gecko,20,00:08:29,01:08:29 PM,A,NA
187,18_03_07_5,D100 641,Blue-eared Barbet,100,00:09:33,01:09:33 PM,A,NA
188,18_03_07_5,D100 641,Black-headed Bulbul,20,00:16:06,01:16:06 PM,A,NA
189,18_03_07_5,D100 641,Ashy Tailorbird,50,00:19:28,01:19:28 PM,A,NA
190,18_03_07_6,D100 641,Dicaeidae,10,00:00:14,02:00:14 PM,A,NA
191,18_03_07_6,D100 641,Bearded Pig,100,00:00:46,02:00:46 PM,A,NA
192,18_03_07_6,D100 641,Ashy Tailorbird,7,00:03:04,02:03:04 PM,V,NA
193,18_03_07_6,D100 641,Chestnut-winged Babbler,40,00:04:32,02:04:32 PM,A,NA
194,18_03_07_6,D100 641,NA,15,00:06:39,02:06:39 PM,A,idem R51 // XC444025
195,18_03_07_6,D100 641,Banded Bay Cuckoo,70,00:08:56,02:08:56 PM,A,NA
196,18_03_07_6,D100 641,Black-and-yellow Broadbill,100,00:09:38,02:09:38 PM,A,NA
197,18_03_07_6,D100 641,Spectacled Bulbul,25,00:10:04,02:10:04 PM,A,NA
198,18_03_07_6,D100 641,NA,10,00:15:54,02:15:54 PM,A,NA
199,18_03_07_6,D100 641,Chestnut-winged Babbler,40,00:16:40,02:16:40 PM,A,NA
200,18_03_07_6,D100 641,Blue-eared Barbet,50,00:17:57,02:17:57 PM,A,Trrrktrrtrrr fast
201,18_03_07_6,D100 641,Bearded Pig,150,00:19:15,02:19:15 PM,A,NA
202,18_03_08_1,C10 621,Dark-necked Tailorbird,8,00:00:10,10:00:10 AM,A,NA
203,18_03_08_1,C10 621,Bold-striped Tit-babbler,25,00:00:11,10:00:11 AM,A,NA
204,18_03_08_1,C10 621,Bold-striped Tit-babbler,30,00:02:23,10:02:23 AM,A,NA
205,18_03_08_1,C10 621,Chestnut-winged Babbler,20,00:03:19,10:03:19 AM,A,NA
206,18_03_08_1,C10 621,Slender-billed Crow,50,00:04:24,10:04:24 AM,A,NA
207,18_03_08_1,C10 621,Lesser Coucal,12,00:05:52,10:05:52 AM,A,NA
208,18_03_08_1,C10 621,Pycnonotus,15,00:06:21,10:06:21 AM,V,Brown bulbul with yellow-ish upperparts
209,18_03_08_1,C10 621,Yellow-bellied Prinia,15,00:07:19,10:07:19 AM,A,NA
210,18_03_08_1,C10 621,Green Iora,10,00:07:35,10:07:35 AM,A,NA
211,18_03_08_1,C10 621,Yellow-bellied Prinia,15,00:09:57,10:09:57 AM,A,NA
212,18_03_08_1,C10 621,Lesser Coucal,20,00:10:44,10:10:44 AM,A,NA
213,18_03_08_1,C10 621,Plaintive Cuckoo,30,00:13:27,10:13:27 AM,A,NA
214,18_03_08_1,C10 621,Yellow-rumped Flowerpecker,10,00:15:25,10:15:25 AM,AV,Male and female
215,18_03_08_1,C10 621,Yellow-rumped Flowerpecker,10,00:15:25,10:15:25 AM,AV,Female and male
216,18_03_08_1,C10 621,Sunbird,13,00:16:44,10:16:44 AM,A,NA
217,18_03_08_1,C10 621,Cream-vented Bulbul,15,00:16:51,10:16:51 AM,A,NA
218,18_03_08_1,C10 621,Cream-vented Bulbul,15,00:16:51,10:16:51 AM,A,NA
219,18_03_08_1,C10 621,Ashy Tailorbird,30,00:17:49,10:17:49 AM,A,NA
220,18_03_08_1,C10 621,Yellow-bellied Prinia,20,00:19:36,10:19:36 AM,A,NA
221,18_03_08_2,C10 621,Slender-billed Crow,60,00:00:12,11:00:12 AM,A,NA
222,18_03_08_2,C10 621,Slender-billed Crow,60,00:00:40,11:00:40 AM,A,NA
223,18_03_08_2,C10 621,Yellow-bellied Prinia,30,00:00:42,11:00:42 AM,A,NA
224,18_03_08_2,C10 621,Pycnonotus,20,00:02:03,11:02:03 AM,NA,NA
225,18_03_08_2,C10 621,Ashy Tailorbird,18,00:02:09,11:02:09 AM,NA,NA
226,18_03_08_2,C10 621,Rufous-tailed Tailorbird,20,00:02:14,11:02:14 AM,A,NA
227,18_03_08_2,C10 621,Bold-striped Tit-babbler,30,00:03:56,11:03:56 AM,NA,NA
228,18_03_08_2,C10 621,Yellow-bellied Prinia,20,00:04:12,11:04:12 AM,NA,NA
229,18_03_08_2,C10 621,Sunbird,50,00:04:34,11:04:34 AM,A,NA
230,18_03_08_2,C10 621,Bold-striped Tit-babbler,20,00:04:45,11:04:45 AM,A,NA
231,18_03_08_2,C10 621,Plaintive Cuckoo,30,00:06:48,11:06:48 AM,A,NA
232,18_03_08_2,C10 621,Pycnonotus,30,00:08:43,11:08:43 AM,A,NA
233,18_03_08_2,C10 621,Orange-bellied Flowerpecker,"1,5",00:11:56,11:11:56 AM,AV,male
234,18_03_08_2,C10 621,Pycnonotus,3,00:13:47,11:13:47 AM,NA,Red-eyed bulbul or cream-vented
235,18_03_08_2,C10 621,NA,5,00:14:38,11:14:38 AM,NA,short melodic 4-note sound
236,18_03_08_2,C10 621,Lesser Coucal,10,00:19:20,11:19:20 AM,NA,NA
237,18_03_08_3,C10 621,Plaintive Cuckoo,25,00:00:06,12:00:06 PM,A,NA
238,18_03_08_3,C10 621,Bold-striped Tit-babbler,20,00:00:07,12:00:07 PM,A,NA
239,18_03_08_3,C10 621,Slender-billed Crow,50,00:00:12,12:00:12 PM,A,NA
240,18_03_08_3,C10 621,Slender-billed Crow,50,00:00:28,12:00:28 PM,A,NA
241,18_03_08_3,C10 621,Asian Red-eyed Bulbul,17,00:01:35,12:01:35 PM,A,NA
242,18_03_08_3,C10 621,Pycnonotus,10,00:02:18,12:02:18 PM,A,NA
243,18_03_08_3,C10 621,Pycnonotus,10,00:02:18,12:02:18 PM,A,NA
244,18_03_08_3,C10 621,Pycnonotus,10,00:02:18,12:02:18 PM,A,NA
245,18_03_08_3,C10 621,Yellow-bellied Prinia,30,00:02:50,12:02:50 PM,A,NA
246,18_03_08_3,C10 621,Black-headed Bulbul,25,00:03:27,12:03:27 PM,A,NA
247,18_03_08_3,C10 621,NA,45,00:04:25,12:04:25 PM,A,"XC444250 // JA57, JA58, JA59: audible at 0:4:25: 0:4:51: 0:5:15: 0:5:44: 0:9:21: 0:16:40: 0:18:27"
248,18_03_08_3,C10 621,Bold-striped Tit-babbler,25,00:04:54,12:04:54 PM,A,NA
249,18_03_08_3,C10 621,Red-throated Sunbird,8,00:05:06,12:05:06 PM,A, XC444150
250,18_03_08_3,C10 621,Cream-vented Bulbul,20,00:05:19,12:05:19 PM,A,NA
251,18_03_08_3,C10 621,Green Iora,17,00:05:54,12:05:54 PM,A,NA
252,18_03_08_3,C10 621,Sooty-capped Babbler,17,00:07:53,12:07:53 PM,A,"tjewtjewtjewtjew, malacopteron sp."
253,18_03_08_3,C10 621,Rufous-tailed Tailorbird,23,00:09:04,12:09:04 PM,A,NA
254,18_03_08_3,C10 621,Lesser Coucal,18,00:09:20,12:09:20 PM,A,NA
255,18_03_08_3,C10 621,NA,10,00:10:07,12:10:07 PM,A,SB? tshit tshit
256,18_03_08_3,C10 621,Yellow-bellied Prinia,12,00:11:14,12:11:14 PM,A,NA
257,18_03_08_3,C10 621,Ashy Tailorbird,16,00:12:12,12:12:12 PM,A,NA
258,18_03_08_3,C10 621,Pycnonotus,20,00:13:11,12:13:11 PM,V,carrying nest-building material
259,18_03_08_3,C10 621,Pycnonotus,20,00:13:11,12:13:11 PM,V,NA
260,18_03_08_3,C10 621,Lesser Coucal,35,00:13:59,12:13:59 PM,A,NA
261,18_03_08_3,C10 621,Sooty-capped Babbler,30,00:18:18,12:18:18 PM,A,NA
262,18_03_08_3,C10 621,Malaysian Pied Fantail,15,00:18:33,12:18:33 PM,A,NA
263,18_03_08_3,C10 621,Pycnonotus,20,00:19:46,12:19:46 PM,A,Piequicklip
264,18_03_08_3,C10 621,Pycnonotus,20,00:19:46,12:19:46 PM,A,NA
265,18_03_08_4,C10 621,Slender-billed Crow,50,00:00:14,01:00:14 PM,A,NA
266,18_03_08_4,C10 621,Slender-billed Crow,50,00:00:14,01:00:14 PM,A,NA
267,18_03_08_4,C10 621,Slender-billed Crow,10,00:01:00,01:01:00 PM,AV,NA
268,18_03_08_4,C10 621,Slender-billed Crow,10,00:01:00,01:01:00 PM,AV,NA
